Percentage,Backlog,Internship,First_Round,Communication_Skills,Hired,
93,3,8,82,82,1,
50,4,3,50,60,0,
80,0,10,80,100,1,
70,2,3,72,75,1,
38,2,0,61,53,0,
60,1,3,65,100,1,
85,6,1,82,57,0,
90,2,6,85,40,1,
40,3,1,65,90,0,
82,1,2,58,24,0,
60,4,2,60,70,0,
51,5,1,68,60,0,
100,0,15,100,70,1,
57,2,0,95,27,0,
70,0,2,65,72,1,
60,4,3,70,100,1,
78,1,1,72,73,1,
50,10,0,60,40,0,
68,6,1,55,57,0,
70,1,2,75,70,1,
68,1,1,58,67,0,
65,0,1,67,90,0,
73,0,2,70,72,1,
65,5,2,82,58,0,
70,3,1,61,68,0,
58,1,1,58,57,0,
75,0,4,80,95,1,
82,5,2,85,55,0,
80,0,3,90,60,1,
74,1,1,64,71,1,
80,1,2,80,90,1,
76,0,2,68,73,1,
90,0,5,90,60,1,
50,4,2,60,100,1,
70,0,2,70,70,1,
70,4,5,60,76,0,
88,1,4,70,75,1,
67,6,3,70,73,0,
88,0,3,90,87,1,
66,4,4,80,80,1,
92,0,6,80,88,1,
91,3,5,89,77,0,
87,0,7,78,78,1,
45,12,3,54,79,0,
65,8,6,69,78,0,
88,7,4,56,77,0,
70,6,4,88,89,1,
90,0,2,79,92,1,
74,1,4,88,77,1,
88,3,4,77,92,0,
55,7,12,71,81,1,
58,8,2,67,90,0,
76,0,1,80,89,0,
90,0,3,81,84,1,
45,20,5,77,88,0,
70,0,1,68,75,1,
90,0,2,61,80,1,
92,0,1,65,85,1,
87,1,2,66,87,1,
92,0,3,68,88,1,
83,1,2,62,89,1,
70,2,3,81,72,1,
88,0,1,82,75,1,
72,1,2,70,85,1,
75,1,3,77,82,1,
60,1,1,65,70,0,
62,1,1,70,72,0,
50,2,0,50,60,0,
55,3,0,60,70,0,
65,2,0,70,70,0,
66,3,1,70,70,0,
70,4,0,72,83,0,
80,2,0,75,60,0,
63,2,1,73,83,0,
70,3,1,80,50,0,
90,1,3,86,70,1,
70,2,2,65,75,1,
80,3,4,82,70,1,
65,3,3,80,70,1,
95,1,2,80,80,1,
68,2,1,90,87,1,
99,0,4,88,93,1,
95,0,3,90,100,1,
82,4,5,86,78,1,
58,5,2,60,70,0,
82,3,0,80,70,0,
70,3,3,65,65,0,
95,0,0,55,60,0,
65,5,4,23,45,0,
70,1,2,70,45,0,
80,0,0,50,70,0,
67,3,2,80,70,0,
45,3,0,33,55,0,
30,0,0,45,56,0,
60,0,2,75,75,0,
50,3,1,40,50,0,
71.56,0,2,79,75,1,
68,0,2,72,76,1,
69.6,0,2,81,85,1,
69.99,0,1,50,10,0,
68.8,0,3,89,91,1,
75,1,2,67,76,1,
70,1,3,72,71,1,
65,3,1,71,71,0,
72,0,2,76,72,1,
72,0,0,71,71,0,
87,1,2,86,76,1,
89,0,2,78,91,1,
78,1,2,91,87,1,
85,3,4,72,71,1,
95,0,3,91,99,1,
98.99,0,6,97,100,1,
78,0,2,97,94,1,
85,0,2,89,81,1,
84,2,4,78,89,1,
62,3,1,54,70,0,
56,3,3,56,76,0,
68,4,5,75,98,1,
59,2,2,78,81,0,
67,0,1,67,55,0,
45,8,2,67,10,0,
69,0,3,71,55,0,
75,5,1,64,63,0,
47,0,2,42,46,0,
51,3,1,56,30,0,
80,0,5,68,87,1,
80,0,5,68,87,1,
77,1,3,81,79,0,
67,2,1,65,75,1,
90.5,0,2,70,85,1,
68.2,2,1,50,60,1,
68.2,2,1,50,60,1,
68.6,2,1,50,60,0,
45,2,0,65,80,0,
78,1,1,70,75,1,
72,0,0,80,85,0,
84,0,4,75,75,1,
92,0,3,80,85,1,
52,3,4,65,65,0,
69,3,4,85,75,1,
91,0,2,75,71,1,
77,0,0,75,80,0,
73,1,1,80,75,1,
40,4,0,55,50,0,
66.6,4,2,85.5,90,0,
81,0,2,80,70,1,
72,1,3,80,75,1,
69.5,4,4,81,80,1,
72,0,0,83.5,89.5,0,
60,0,2,75,75,0,
70,1,3,85,75,1,
65,0,1,65,80,1,
67,2,2,72,84,0,
80,0,1,87,70,1,
79,1,2,73,90,0,
68,4,4,82,80,1,
67,0,3,71,72,1,
65,1,4,60,75,0,
72,2,3,79,87,0,
79,3,1,74,90,0,
78,4,4,82,71,1,
74,0,3,62,80,1,
85,1,4,81,75,1,
70,0,1,70,80,1,
76,2,4,75,78,0,
67,1,1,68,75,0,
60,1,1,65,70,0,
80,3,2,69,70,0,
78,2,3,85,78,1,
65,0,3,62,75,1,
75,1,4,69,82,0,
71,2,1,60,77,0,
78,3,4,85,7,1,
77,1,3,69,75,0,
70,4,2,88,85,0,
78,3,4,65,68,0,
78,4,4,85,66,0,
85,4,6,85,90,1,
61,0,3,88,91,0,
98,3,3,89,93,1,
88,3,4,78,70,0,
89,3,1,85,72,1,
89,0,1,78,85,1,
75,0,0,78,98,0,
78,2,4,88,78,1,
60,0,3,66,62,0,
88,0,3,78,85,1,
85,2,0,78,85,0,
85,0,0,85,75,0,
95,0,5,98,97,1,
85,3,2,75,75,1,
80,1,2,70,80,1,
70,0,1,1,80,1,
90,0,2,80,80,1,
80,0,3,80,80,1,
90,0,2,70,70,1,
50,2,0,60,60,0,
70,0,2,65,73,1,
50,3,0,60,50,0,
72,1,3,80,85,1,
76,0,1,69,80,1,
70,2,4,80,80,1,
90,0,3,80,80,1,
90,0,4,87,90,1,
68,1,1,68,70,1,
95,0,5,85,87,1,
87,0,2,67,77,1,
89,1,3,77,77,1,
90,0,1,80,87,1,
87,1,3,87,78,1,
70,1,3,90,90,1,
55,2,0,65,70,0,
60,3,1,70,60,0,
50,3,2,50,60,0,
60,2,2,60,71,0,
55,2,0,60,66,0,
59,3,1,76,70,0,
55,2,2,40,33,0,
56,3,1,70,59,0,
33,2,0,49,70,0,
63,2,2,78,68,0,
90,1,1,65,72,1,
66,3,1,62,69,0,
80,3,5,85,79,1,
73,1,2,69,75,1,
66,0,3,85,80,1,
70,4,2,79,60,0,
80,1,2,65,75,1,
79,1,1,65,79,1,
67,1,2,62,73,1,
69,2,4,60,70,1,
70,1,2,63,70,1,
75,0,3,62,72,1,
65,2,0,80,69,0,
85,3,4,82,75,1,
82,0,2,63,73,1,
70,0,2,50,60,0,
79.5,1,2,60,71,1,
81,1,3,62,89,1,
74,0,4,74,74,1,
64,3,1,60,65,0,
90,0,3,87,77,1,
47,6,0,50,90,0,
65,1,1,65,70,1,
65,3,3,85,80,1,
60,5,1,40,70,0,
90,0,0,70,60,0,
30,8,0,20,35,0,
69,2,3,85,95,1,
59,3,2,80,80,0,
41,4,5,85,62,0,
64,2,4,80,80,1,
55,3,3,87,89,1,
66,4,2,80,80,0,
75,8,6,80,80,0,
70,1,2,65,71,1,
67,2,3,70,77,1,
81,2,2,66,79,1,
68,1,4,71,71,1,
66,3,4,81,77,1,
70,3,5,88,71,1,
70,3,5,89,79,1,
71,4,4,88,71,1,
71,4,4,81,71,1,
64,1,69,0,64,1,
60,3,65,0,61,1,
60,6,0,60,60,0,
61,6,0,60,60,0,
62,5,0,62,63,0,
63,4,0,63,65,0,
64,3,0,65,69,0,
64,5,2,79,69,0,
63,6,2,78,68,0,
62,7,1,77,67,0,
61,8,1,76,66,0,
60,9,2,75,65,0,
59,8,2,75,65,0,
62.55,1,2,72,79,1,
72.87,0,3,80.3,85.5,1,
75.9,0,4,80,85,1,
59,4,2,71,69,0,
82.5,3,4,87,83,1,
59.37,3,1,65,71,0,
71.6,0,4,75,85,1,
65.58,2,4,71,89,1,
67.78,5,0,60,71,0,
59.98,5,5,87,91,1,
63.45,5,0,67,70,0,
68.87,2,0,66.67,69.69,0,
80.48,0,3,79,88.89,1,
65,2,1,60,70,1,
100,5,3,88,88,1,
100,8,1,88,88,0,
